IMDb ID,Title,Year,Rating,Votes,Genre,Description,Country,Director,Writers,URL,titleType,startYear,runtimeMinutes
tt0000001,Carmencita,1894.0,5.7,2.1K,"Documentary,Short","On IMDb, this film is numbered as tt0000001.",United States,William K.L. Dickson,,https://www.imdb.com/title/tt0000001/,short,1894,1
tt0000002,Le clown et ses chiens,1892.0,5.5,290,"Animation,Short",No footage can be found due to Reynaud throwing all of his films (except for a partial of 'Pauvre Pierrot' and 'Autour D'une Cabine') into the Seine river in 1900.,France,Émile Reynaud,,https://www.imdb.com/title/tt0000002/,short,1892,5
tt0000003,Pauvre Pierrot,1892.0,6.4,2.2K,"Animation,Comedy,Romance","The cartoon was hand drawn on hundreds of sheets of glass, each inlaid in a leather strips, through which a light was shone projecting the figures on a backdrop, as it was spooled from one reel to another, much like a modern film reel.",France,Émile Reynaud,Émile Reynaud,https://www.imdb.com/title/tt0000003/,short,1892,5
tt0000004,Un bon bock,1892.0,5.3,186,"Animation,Short","The film is now considered a lost film. There are no more copies of the film, because Reynaud, with the exception of two films, tossed it in the Seine in a depressed mood.",France,Émile Reynaud,,https://www.imdb.com/title/tt0000004/,short,1892,12
tt0000005,Blacksmith Scene,1893.0,6.2,2.9K,Short,"The mixing of work and alcohol was commonplace in the early 19th century, especially amongst heavy laborers. By the 1890's, however, the practice had died away. The use of the bottle of beer in this film is intended to invoke a sense of comic nostalgia of a bygone era.",United States,William K.L. Dickson,,https://www.imdb.com/title/tt0000005/,short,1893,1
tt0000006,Chinese Opium Den,1894.0,5.0,209,Short,"The film is considered lost, as only one frame remains, and no copies are known.",United States,William K.L. Dickson,,https://www.imdb.com/title/tt0000006/,short,1894,1
tt0000007,Corbett and Courtney Before the Kinetograph,1894.0,5.3,905,"Short,Sport",All six rounds of the this actual boxing match were filmed and distributed for viewing to the public. Only part of the first round is preserved; the last five have apparently been lost.,United States,William K.L. Dickson,,https://www.imdb.com/title/tt0000007/,short,1894,1
tt0000008,Edison Kinetoscopic Record of a Sneeze,1894.0,5.4,2.3K,"Documentary,Short",First motion picture with a close-up.,United States,William K.L. Dickson,,https://www.imdb.com/title/tt0000008/,short,1894,1
tt0000009,Miss Jerry,1894.0,5.4,222,Romance,"Miss Jerry was not a film, but a series of posed magic lantern slides projected onto a screen with a dissolving stereopticon. Film attempts to create an impression of movement with the slides changing once every 15 seconds.",United States,Alexander Black,Alexander Black,https://www.imdb.com/title/tt0000009/,movie,1894,45
tt0000010,La sortie de l'usine Lumière à Lyon,1895.0,6.8,7.9K,"Documentary,Short",It was the first film ever to be projected to a paying audience.,France,Louis Lumière,,https://www.imdb.com/title/tt0000010/,short,1895,1
tt0000011,Akrobatisches Potpourri,1895.0,5.2,416,"Documentary,Short",This is not a film but a series of photographs.,Germany,Max Skladanowsky,,https://www.imdb.com/title/tt0000011/,short,1895,1
tt0000012,L'arrivée d'un train à La Ciotat,1896.0,7.4,13K,"Documentary,Short","Popular legend has it that, when this film was shown, the audience fled in terror, fearing being run over by the ""approaching"" train. This legend has since been identified as promotional embellishment, though there is evidence to suggest that people were astounded at the capabilities of the Lumières' cinématographe.",France,Auguste Lumière,,https://www.imdb.com/title/tt0000012/,short,1896,1
tt0000013,Le débarquement du congrès de photographie à Lyon,1895.0,5.7,2.1K,"Documentary,Short",Edited into The Lumière Brothers' First Films (1996),France,Louis Lumière,,https://www.imdb.com/title/tt0000013/,short,1895,1
tt0000014,L'arroseur arrosé,1895.0,7.1,6.1K,"Comedy,Short",Was the first movie to have a one-sheet poster designed to advertise a single film.,France,Louis Lumière,,https://www.imdb.com/title/tt0000014/,short,1895,1
tt0000015,Autour d'une cabine,1894.0,6.1,1.3K,"Animation,Comedy,Short",Featured in Disneyland: The Story of the Animated Drawing (1955),France,Émile Reynaud,Émile Reynaud,https://www.imdb.com/title/tt0000015/,short,1894,2
tt0000016,Barque sortant du port,1895.0,5.9,1.7K,"Documentary,Short",Edited into The Lumière Brothers' First Films (1996),France,Louis Lumière,,https://www.imdb.com/title/tt0000016/,short,1895,1
tt0000017,Italienischer Bauerntanz,1895.0,4.6,378,"Documentary,Short",Edited into Wintergartenprogramm (1895),Germany,Emil Skladanowsky,,https://www.imdb.com/title/tt0000017/,short,1895,1
tt0000018,Das boxende Känguruh,1895.0,5.2,660,"Short,Sport",Edited into Wintergartenprogramm (1895),Germany,Max Skladanowsky,,https://www.imdb.com/title/tt0000018/,short,1895,1
tt0000019,The Clown Barber,1898.0,5.2,34,"Comedy,Short",,United Kingdom,James Williamson,,https://www.imdb.com/title/tt0000019/,short,1898,
tt0000020,The Derby 1895,1895.0,4.7,409,"Documentary,Short,Sport","This rare footage will be given a state-of-the-art home in Warwickshire, UK. The British Film Institute's film archives will be housed in optimal environmental conditions - cold and dry.",United Kingdom,Birt Acres,,https://www.imdb.com/title/tt0000020/,short,1895,1
tt0000022,Les forgerons,1895.0,5.1,1.2K,"Documentary,Short",Edited into Lumière ! L'aventure commence (2016),France,Louis Lumière,,https://www.imdb.com/title/tt0000022/,short,1895,1
tt0000023,Baignade en mer,1895.0,5.7,1.6K,"Documentary,Short","The film was shown tenth and completed the famous first paid Lumière cinema show of the ten films in Paris in the basement ""Grand Cafe"" on the Boulevard des Capucines 28 December 1895.",France,Louis Lumière,,https://www.imdb.com/title/tt0000023/,short,1895,1
tt0000024,Opening of the Kiel Canal,1895.0,3.7,157,"News,Short",This ceremony took place on 20 June 1895.,United Kingdom,Birt Acres,,https://www.imdb.com/title/tt0000024/,short,1895,1
tt0000025,The Oxford and Cambridge University Boat Race,1896.0,4.2,50,"News,Short,Sport",Considered the first British film ever made.,United Kingdom,Birt Acres,,https://www.imdb.com/title/tt0000025/,short,1896,
